Temp,MaxTemp,MinTemp,LinkMargin,timestamp
8.7125,16.2162,0.8037,48,2016-10-08T07:16:43.781Z
8.8250,16.2162,0.8037,48,2016-10-08T07:16:13.628Z
8.9375,16.2162,0.8037,48,2016-10-08T07:15:43.073Z
8.9375,16.2162,0.8037,48,2016-10-08T07:15:13.523Z
9.0500,16.2162,0.8037,48,2016-10-08T07:14:43.090Z
9.0500,16.2162,0.8037,48,2016-10-08T07:14:14.230Z
9.1625,16.2162,0.8037,48,2016-10-08T07:13:43.162Z
9.1625,16.2162,0.8037,48,2016-10-08T07:13:13.157Z
9.2750,16.2162,0.8037,48,2016-10-08T07:12:44.434Z
9.2750,16.2162,0.8037,48,2016-10-08T07:12:13.019Z
9.3875,16.2162,0.8037,48,2016-10-08T07:11:43.131Z
9.3875,16.2162,0.8037,48,2016-10-08T07:11:13.338Z
9.5000,16.2162,0.8037,48,2016-10-08T07:10:42.990Z
9.5000,16.2162,0.8037,48,2016-10-08T07:10:13.126Z
9.5000,16.2162,0.8037,48,2016-10-08T07:09:42.974Z
9.5000,16.2162,0.8037,48,2016-10-08T07:09:13.155Z
9.5000,16.2162,0.8037,48,2016-10-08T07:08:43.089Z
9.5000,16.2162,0.8037,48,2016-10-08T07:08:13.081Z
9.5000,16.2162,0.8037,48,2016-10-08T07:07:44.302Z
9.5000,16.2162,0.8037,48,2016-10-08T07:07:16.102Z
9.5000,16.2162,0.8037,48,2016-10-08T07:06:43.054Z
9.3875,16.2162,0.8037,48,2016-10-08T07:06:13.320Z
9.3875,16.2162,0.8037,48,2016-10-08T07:05:43.040Z
9.3875,16.2162,0.8037,48,2016-10-08T07:05:13.033Z
9.2750,16.2162,0.8037,48,2016-10-08T07:04:43.521Z
9.1625,16.2162,0.8037,48,2016-10-08T07:04:13.023Z
9.1625,16.2162,0.8037,48,2016-10-08T07:03:43.519Z
9.0500,16.2162,0.8037,48,2016-10-08T07:03:13.577Z
